EXP_GENE,RT_GENE,CORR
LRFN5,TRIB2-rt,0.93125255399
LTBR,TRIB2-rt,0.93125255399
MC1R,TRIB2-rt,0.93125255399
MFAP4,TRIB2-rt,0.93125255399
MMP23B,TRIB2-rt,0.93125255399
NFKBIZ,TRIB2-rt,0.93125255399
NLRP3,TRIB2-rt,0.93125255399
OGN,TRIB2-rt,0.93125255399
OSR1,TRIB2-rt,0.93125255399
PROK1,TRIB2-rt,0.93125255399
PTGES,TRIB2-rt,0.93125255399
PTPRR,TRIB2-rt,0.93125255399
REG4,TRIB2-rt,0.93125255399
RSPO2,TRIB2-rt,0.93125255399
S100A4,TRIB2-rt,0.93125255399
SERPINB13,TRIB2-rt,0.93125255399
SLC2A10,TRIB2-rt,0.93125255399
SLITRK6,TRIB2-rt,0.93125255399
SMCO3,TRIB2-rt,0.93125255399
SOCS3,TRIB2-rt,0.93125255399
SPRR3,TRIB2-rt,0.93125255399
SVEP1,TRIB2-rt,0.93125255399
TGFBR3,TRIB2-rt,0.93125255399
TNNT3,TRIB2-rt,0.93125255399
WFDC1,TRIB2-rt,0.93125255399
ZBED2,TRIB2-rt,0.93125255399
ADRA1B,CPQ-rt,0.870240567311
ATP8B4,CPQ-rt,0.870240567311
CCDC85A,CPQ-rt,0.870240567311
CEBPD,CPQ-rt,0.870240567311
CHRDL2,CPQ-rt,0.870240567311
CILP,CPQ-rt,0.870240567311
CLCA2,CPQ-rt,0.870240567311
CMKLR1,CPQ-rt,0.870240567311
COL15A1,CPQ-rt,0.870240567311
COL8A2,CPQ-rt,0.870240567311
COMP,CPQ-rt,0.870240567311
CRISPLD2,CPQ-rt,0.870240567311
CXCL14,CPQ-rt,0.870240567311
DUOXA1,CPQ-rt,0.870240567311
EGFLAM,CPQ-rt,0.870240567311
ENDOD1,CPQ-rt,0.870240567311
HGF,CPQ-rt,0.870240567311
LAMA2,CPQ-rt,0.870240567311
LRFN5,CPQ-rt,0.870240567311
LTBR,CPQ-rt,0.870240567311
MC1R,CPQ-rt,0.870240567311
MFAP4,CPQ-rt,0.870240567311
MMP23B,CPQ-rt,0.870240567311
NFKBIZ,CPQ-rt,0.870240567311
NLRP3,CPQ-rt,0.870240567311
OGN,CPQ-rt,0.870240567311
OSR1,CPQ-rt,0.870240567311
PROK1,CPQ-rt,0.870240567311
PTGES,CPQ-rt,0.870240567311
PTPRR,CPQ-rt,0.870240567311
REG4,CPQ-rt,0.870240567311
RSPO2,CPQ-rt,0.870240567311
S100A4,CPQ-rt,0.870240567311
SERPINB13,CPQ-rt,0.870240567311
SLC2A10,CPQ-rt,0.870240567311
SLITRK6,CPQ-rt,0.870240567311
SMCO3,CPQ-rt,0.870240567311
