EXP_GENE,RT_GENE,CORR
NPHS1,CRCT1-rt,0.75910341874
PAX4,CRCT1-rt,0.75910341874
PCSK1,CRCT1-rt,0.75910341874
PDX1,CRCT1-rt,0.75910341874
PTF1A,CRCT1-rt,0.75910341874
RAB26,CRCT1-rt,0.75910341874
SCGB1A1,CRCT1-rt,0.75910341874
SCGN,CRCT1-rt,0.75910341874
SCTR,CRCT1-rt,0.75910341874
SDR9C7,CRCT1-rt,0.75910341874
SLC4A4,CRCT1-rt,0.75910341874
SV2B,CRCT1-rt,0.75910341874
ABCC8,KCNE4-rt,0.874517735782
ACOT7,KCNE4-rt,0.874517735782
C11orf87,KCNE4-rt,0.874517735782
CAMK2B,KCNE4-rt,0.874517735782
CELA3A,KCNE4-rt,0.874517735782
CHGA,KCNE4-rt,0.874517735782
CLEC4G,KCNE4-rt,0.874517735782
CLPS,KCNE4-rt,0.874517735782
CNGA3,KCNE4-rt,0.874517735782
COL28A1,KCNE4-rt,0.874517735782
CRH,KCNE4-rt,0.874517735782
CRYBA2,KCNE4-rt,0.874517735782
ERO1LB,KCNE4-rt,0.874517735782
FEV,KCNE4-rt,0.874517735782
FGF14,KCNE4-rt,0.874517735782
FSTL5,KCNE4-rt,0.874517735782
GAD2,KCNE4-rt,0.874517735782
GALR1,KCNE4-rt,0.874517735782
GFRA3,KCNE4-rt,0.874517735782
GUCA2B,KCNE4-rt,0.874517735782
INS,KCNE4-rt,0.874517735782
INSM1,KCNE4-rt,0.874517735782
KCNJ6,KCNE4-rt,0.874517735782
KCNK16,KCNE4-rt,0.874517735782
KCNK17,KCNE4-rt,0.874517735782
KIRREL2,KCNE4-rt,0.874517735782
LINC00607,KCNE4-rt,0.874517735782
MIR7-3HG,KCNE4-rt,0.874517735782
MSMB,KCNE4-rt,0.874517735782
NDFIP1,KCNE4-rt,0.874517735782
NEUROD1,KCNE4-rt,0.874517735782
NKX2-2,KCNE4-rt,0.874517735782
NPHS1,KCNE4-rt,0.874517735782
PAX4,KCNE4-rt,0.874517735782
PCSK1,KCNE4-rt,0.874517735782
PDX1,KCNE4-rt,0.874517735782
PTF1A,KCNE4-rt,0.874517735782
RAB26,KCNE4-rt,0.874517735782
SCGB1A1,KCNE4-rt,0.874517735782
SCGN,KCNE4-rt,0.874517735782
SCTR,KCNE4-rt,0.874517735782
SDR9C7,KCNE4-rt,0.874517735782
SLC4A4,KCNE4-rt,0.874517735782
SV2B,KCNE4-rt,0.874517735782
ABCC8,C4orf19-rt,0.797151165561
ACOT7,C4orf19-rt,0.797151165561
C11orf87,C4orf19-rt,0.797151165561
CAMK2B,C4orf19-rt,0.797151165561
